Artist,Followers,Streams,Playlists,Playlist Reach,Charts,Shazams,Videos,Views,DJ Supports,Error
Kai Wachi,1.02M,385M,3794,34.4M,384.0,445K,20.1K,100M,3104,
Kallaghan,18.6K,2.64M,682,23.7M,43.0,4120,772,19.6M,5,
Kasablanca,452K,424M,4597,94.2M,724.0,768K,102K,109M,3799,
Kaskade,,,,,,,,,,
Kassel,154,20.4K,15,29.3K,1.0,162,37,23K,1,
Kaysin,20K,4.67M,1187,19.8M,87.0,32.6K,367,8.28M,852,
Kayzo,1.71M,567M,6964,95.6M,600.0,771K,24.5K,75M,6158,
KEPIK,46.7K,19.9M,725,22.2M,255.0,26.8K,813,1.03M,401,
Kevin de Vries,753K,226M,6569,87.5M,1080.0,2.68M,61.9K,147M,6430,
Kevin Saunderson,568K,622M,11.3K,111M,1179.0,24.3M,11.2K,23.9M,6461,
Khiva,89.1K,5.21M,345,2.06M,44.0,29K,3091,4.73M,78,
KhoMha,349K,97.2M,2154,24.3M,457.0,510K,4534,13.5M,5921,
Kian,110K,144M,1785,56.5M,269.0,809K,5076,18.8M,6,
Kittrix,17.3K,855K,333,3.15M,10.0,620,84,296K,12,
Kendoll,72.3K,3M,408,5.21M,143.0,7932,657,2.33M,239,
Klangkuenstler,695K,168M,4497,35.9M,598.0,1.03M,8108,32.1M,3241,
Koven,549K,530M,6982,76M,1031.0,1.81M,36.5K,121M,2783,
Kozmoz,62.2K,20.4M,624,8.05M,85.0,15.7K,549,1.22M,345,
Kreation,6399,5.69M,342,1.96M,77.0,5028,214,4.57M,21,
Darksiderz,183K,3.46M,406,5.32M,51,4151,178,913K,90,
Ky William,35.4K,6.95M,1177,18.8M,162,54.7K,1024,4.15M,1201,
Kyle Walker,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lady Faith,445K,11.3M,623,5.77M,76,24.1K,864,31.5M,466,
LALA,7833,474K,53,607K,6,2465,704,3.82M,N/A,
Lavish Life,115K,43.7M,465,10.9M,69,27K,6838,41.7M,37,
LAYZ,294K,24.5M,674,12.9M,66,24.7K,1617,6.94M,599,
LF SYSTEM,350K,762M,12.5K,289M,1310,4.73M,240K,4.68B,3426,
Lil Texas,458K,265M,3374,26.7M,482,479K,62.3K,398M,1096,
Lilly Palmer,3.91M,168M,4021,68.5M,512,479K,30.6K,184M,3486,
Lisbona Sisters,18.7K,497K,175,2.62M,33,6163,161,343K,112,
The Living Proof,18.1K,10.2M,354,4.81M,28,4624,297,110K,133,
Lizzy Jane,61.2K,3.64M,359,5.17M,24,2568,306,442K,97,
Loco Dice,2.63M,58.8M,3336,59.5M,681,736K,4985,17.5M,3994,
Lost Frequencies,11M,19.5B,52.5K,875M,3192,97.5M,2.58M,4.56B,12.1K,
Lost Like Us,2081,474K,61,1.48M,N/A,772,39,19K,1,
LOUIEJAYXX,64.5K,14.4M,680,8.17M,138,30.8K,755,8.43M,1035,
LSDREAM,703K,194M,2463,25.5M,255,341K,52.6K,95.8M,1507,
Lucky Lou,3404,4.23M,322,5.04M,177,11.6K,392,679K,87,
Luttrell,311K,128M,2887,48.2M,733,642K,7265,26.2M,2659,
