,Hostname,Stage Name,Artist,Timeslot,Date,Year,Day,Weekend,Genre
2435,Hexagon,Lotus,Tchami & Malaa,19:00 - 20:00,26 July,2019,Friday,Weekend 2,Unknown
2436,Hexagon,Lotus,Don Diablo,20:00 - 22:00,26 July,2019,Friday,Weekend 2,Progressive House
2437,Hexagon,Lotus,Hexagon All Stars,22:00 - 23:00,26 July,2019,Friday,Weekend 2,Unknown
2438,Hexagon,Lotus,Martin Solveig Live,23:15 - 00:15,26 July,2019,Friday,Weekend 2,Unknown
2439,Mainstage,Mainstage,15Y Spectacle,00:50 - 01:00,26 July,2019,Friday,Weekend 2,Unknown
2440,Mainstage,Mainstage,Kölsch,12:00 - 14:50,26 July,2019,Friday,Weekend 2,Commercial Dance
2441,Mainstage,Mainstage,Boris Brejcha,14:50 - 15:50,26 July,2019,Friday,Weekend 2,"Minimal, Techno"
2442,Mainstage,Mainstage,Mark With a K & Mc Chucky,15:50 - 16:50,26 July,2019,Friday,Weekend 2,"Jumpstyle, Hardstyle"
2443,Mainstage,Mainstage,Mike Williams,16:50 - 17:50,26 July,2019,Friday,Weekend 2,"Commercial Dance, Drum & Bass, Electronica, Progressive House, Traditional House"
2444,Mainstage,Mainstage,Kungs,17:50 - 18:50,26 July,2019,Friday,Weekend 2,"Tech House, Traditional House"
2445,Mainstage,Mainstage,Sunnery James & Ryan Marciano,18:50 - 19:50,26 July,2019,Friday,Weekend 2,Electro House
2446,Mainstage,Mainstage,Charlotte de Witte,19:50 - 20:50,26 July,2019,Friday,Weekend 2,Techno
2447,Mainstage,Mainstage,Nicky Romero,20:50 - 21:50,26 July,2019,Friday,Weekend 2,Progressive House
2448,Mainstage,Mainstage,Alesso,21:50 - 22:50,26 July,2019,Friday,Weekend 2,Progressive House
2449,Mainstage,Mainstage,Armin Van Buuren,22:50 - 23:50,26 July,2019,Friday,Weekend 2,Trance
2450,Do Not Sit On The Furniture,Leaf,Seth Schwarz,17:30 - 19:30,26 July,2019,Friday,Weekend 2,"Tech House, Progressive House"
2451,Moosebar,Moosebar,Lareunt Wery,14:00 - 16:00,26 July,2019,Friday,Weekend 2,Unknown
2452,Moosebar,Moosebar,Freest DJ Lucki Luc,16:00 - 18:00,26 July,2019,Friday,Weekend 2,Unknown
2453,Moosebar,Moosebar,DJ Funkhauser,18:00 - 20:00,26 July,2019,Friday,Weekend 2,Unknown
2454,Moosebar,Moosebar,Tom Cosyns,20:00 - 21:00,26 July,2019,Friday,Weekend 2,"Electronic, Dance, House"
2455,Moosebar,Moosebar,Jelle DK,21:00 - 23:00,26 July,2019,Friday,Weekend 2,"Electronic, Dance, House"
2456,Moosebar,Moosebar,DJ Mr. E,23:00 - 00:30,26 July,2019,Friday,Weekend 2,Unknown
2457,Q-Dance Invites: Get Wack!,Q-Dance Stage,Zany,12:30 - 14:00,26 July,2019,Friday,Weekend 2,Hardcore Techno
2458,Q-Dance Invites: Get Wack!,Q-Dance Stage,Sephyx,14:00 - 15:00,26 July,2019,Friday,Weekend 2,Hard Dance
2459,Q-Dance Invites: Get Wack!,Q-Dance Stage,LNY TNZ,15:00 - 16:00,26 July,2019,Friday,Weekend 2,Hard Dance
2460,Q-Dance Invites: Get Wack!,Q-Dance Stage,Wildstylez,16:00 - 17:00,26 July,2019,Friday,Weekend 2,Hard Dance
2461,Q-Dance Invites: Get Wack!,Q-Dance Stage,Bass Chaserz & Degos & Re-done,17:00 - 17:45,26 July,2019,Friday,Weekend 2,Unknown
2462,Q-Dance Invites: Get Wack!,Q-Dance Stage,Frequencerz presents Get Wack!,17:45 - 18:30,26 July,2019,Friday,Weekend 2,Unknown
2463,Q-Dance Invites: Get Wack!,Q-Dance Stage,Frequencerz & Ran-D,18:30 - 19:30,26 July,2019,Friday,Weekend 2,Unknown
2464,Q-Dance Invites: Get Wack!,Q-Dance Stage,D-Block & S-te-Fan,19:30 - 20:30,26 July,2019,Friday,Weekend 2,"Hard Dance, Hardcore Techno"
2465,Q-Dance Invites: Get Wack!,Q-Dance Stage,Frequencerz & Rejecta,20:30 - 21:15,26 July,2019,Friday,Weekend 2,Hard Dance
