year,artist
2025,Martin Garrix
2025,Matroda
2025,Mattilo
2025,Meedy
2025,Pizzi
2025,Mike Posner
2025,Miss Monique
2025,MPH
2025,Neon Deluz
2025,Nico Moreno
2025,I Hate Models
2025,Nils Hoffmann
2025,Nora En Pure
2025,Odd Language
2025,Odd Mob
2025,Oddly Godly
2025,Of The Trees
2025,OMRI.
2025,AMÉMÉ&Baron
2025,Pocket
2025,Sam Binga
2025,Prospa
2025,Josh Baker
2025,Pryda
2025,RaeCola
2025,RaeCola
2025,Riordan
2025,Roadhouse
2025,Rooler
2025,Rudimental
2025,Sam Binga
2025,Sarah de Warren
2025,Selective Response
2025,Showtek
2025,SIDEPIECE
2025,Silcrow
2025,SLANDER
2025,NGHTMRE
2025,Slugg
2025,Soothslayer
2025,southstar
2025,Stedicam
2025,Steller
2025,Svdden Death
2025,Tiësto
2025,Tim Clark
2025,Tim Underscore
2025,TOKiMONSTA
2025,TOKiMONSTA
2025,TRICKSTAR
2025,Tripps
2025,Truth
2025,Uncle Waffles
2025,VARI
2025,veggi
2025,Walker & Royce
2025,Ward Andrews
2025,Willie Pake
2025,YDG
2025,Yosuf
2025,Afrojack
2025,Alesso
2025,Alok
2025,Armin van Buuren
2025,ARTBAT
2025,MORTEN
2025,Ben Nicky
2025,Danny Avila
2025,Deorro
2025,Dimension
2025,DJ Snake
2025,Dom Dolla
2025,Dom Dolla
2025,Chase & Status
2025,Eric Prydz
2025,Fireworks
2025,Fireworks
2025,Fireworks
2025,Fisher
2025,Gorgon City
2025,Illenium
2025,SLANDER
2025,James Hype
2025,Kaskade
2025,Lavern
2025,Marlon Hoffstadt
2025,Martin Garrix
2025,Meduza
2025,Mike Posner
2025,Noizu
2025,Nora En Pure
2025,Sara Landry
2025,Tiësto
2025,Xandra
2025,Alison Wonderland
2025,Kaskade
2025,ARMNHMR
2025,AYYBO
2025,Baggi
2025,Bicep
2025,Boys Noize
2025,Brutalismus 3000
2025,CHYL
2025,Crankdat
2025,Daniel Allan
2025,Disco Lines
2025,DJ Snake
2025,Dombresky
2025,Gesaffelstein
2025,VNSSA&Nala
2025,GUDFELLA
2025,Hedex
2025,it's murph
2025,Loud Luxury
2025,Matroda
2025,NGHTMRE
2025,Odd Mob
2025,Oppidan
2025,RL Grime
2025,SIDEPIECE
2025,Sosa
2025,Classmatic
2025,Tape B
2025,TOKiMONSTA
2025,Trivecta
2025,Villager
2025,Yellow Claw
2025,ALLEYCVT
2025,Annicka
2025,Armand Van Helden
2025,ATLiens
2025,Black Tiger Sex Machine
2025,Charlotte de Witte
2025,Cloonee
2025,Eli Brown
2025,Excision
2025,HUGEL
2025,I Hate Models
2025,ISOxo&Knock2
2025,Layton Giordani
2025,LF SYSTEM
2025,Maddix
2025,Mau P
2025,Max Styler
2025,Mochakk
2025,Rezz
2025,SLANDER
2025,NGHTMRE
2025,Space 92&Popof
2025,Svdden Death
2025,Tchami&Malaa
2025,Tiësto
2025,Torren Foot
2025,Adam Ten
2025,Mita Gami
2025,Airrica
2025,Alignment
2025,Amelie Lens
2025,Beltran
2025,Ben Sterling
2025,Rossi.
